,DATE,COMPANY,LT_DEBT_TO_COM_EQY
572,2011-03-14,aapl us equity,0.0
573,2011-03-13,aapl us equity,0.0
574,2011-03-10,aapl us equity,0.0
575,2011-03-09,aapl us equity,0.0
576,2011-03-08,aapl us equity,0.0
577,2011-03-07,aapl us equity,0.0
578,2011-03-06,aapl us equity,0.0
579,2011-03-03,aapl us equity,0.0
580,2011-03-02,aapl us equity,0.0
581,2011-03-01,aapl us equity,0.0
582,2011-02-28,aapl us equity,0.0
583,2011-02-27,aapl us equity,0.0
584,2011-02-24,aapl us equity,0.0
585,2011-02-23,aapl us equity,0.0
586,2011-02-22,aapl us equity,0.0
587,2011-02-21,aapl us equity,0.0
588,2011-02-20,aapl us equity,0.0
589,2011-02-17,aapl us equity,0.0
590,2011-02-16,aapl us equity,0.0
591,2011-02-15,aapl us equity,0.0
592,2011-02-14,aapl us equity,0.0
593,2011-02-13,aapl us equity,0.0
594,2011-02-10,aapl us equity,0.0
595,2011-02-09,aapl us equity,0.0
596,2011-02-08,aapl us equity,0.0
597,2011-02-07,aapl us equity,0.0
598,2011-02-06,aapl us equity,0.0
599,2011-02-03,aapl us equity,0.0
600,2011-02-02,aapl us equity,0.0
601,2011-02-01,aapl us equity,0.0
602,2011-01-31,aapl us equity,0.0
603,2011-01-30,aapl us equity,0.0
604,2011-01-27,aapl us equity,0.0
605,2011-01-26,aapl us equity,0.0
606,2011-01-25,aapl us equity,0.0
607,2011-01-24,aapl us equity,0.0
608,2011-01-23,aapl us equity,0.0
609,2011-01-20,aapl us equity,0.0
610,2011-01-19,aapl us equity,0.0
611,2011-01-18,aapl us equity,0.0
612,2011-01-17,aapl us equity,0.0
613,2011-01-16,aapl us equity,0.0
614,2011-01-13,aapl us equity,0.0
615,2011-01-12,aapl us equity,0.0
616,2011-01-11,aapl us equity,0.0
617,2011-01-10,aapl us equity,0.0
618,2011-01-09,aapl us equity,0.0
619,2011-01-06,aapl us equity,0.0
620,2011-01-05,aapl us equity,0.0
621,2011-01-04,aapl us equity,0.0
622,2011-01-03,aapl us equity,0.0
623,2011-01-02,aapl us equity,0.0
624,2010-12-30,aapl us equity,0.0
625,2010-12-29,aapl us equity,0.0
626,2010-12-28,aapl us equity,0.0
627,2010-12-27,aapl us equity,0.0
628,2010-12-26,aapl us equity,0.0
629,2010-12-23,aapl us equity,0.0
630,2010-12-22,aapl us equity,0.0
631,2010-12-21,aapl us equity,0.0
632,2010-12-20,aapl us equity,0.0
633,2010-12-19,aapl us equity,0.0
634,2010-12-16,aapl us equity,0.0
635,2010-12-15,aapl us equity,0.0
636,2010-12-14,aapl us equity,0.0
637,2010-12-13,aapl us equity,0.0
638,2010-12-12,aapl us equity,0.0
639,2010-12-09,aapl us equity,0.0
640,2010-12-08,aapl us equity,0.0
641,2010-12-07,aapl us equity,0.0
642,2010-12-06,aapl us equity,0.0
643,2010-12-05,aapl us equity,0.0
644,2010-12-02,aapl us equity,0.0
645,2010-12-01,aapl us equity,0.0
646,2010-11-30,aapl us equity,0.0
647,2010-11-29,aapl us equity,0.0
648,2010-11-28,aapl us equity,0.0
649,2010-11-25,aapl us equity,0.0
650,2010-11-24,aapl us equity,0.0
651,2010-11-23,aapl us equity,0.0
652,2010-11-22,aapl us equity,0.0
653,2010-11-21,aapl us equity,0.0
654,2010-11-18,aapl us equity,0.0
655,2010-11-17,aapl us equity,0.0
656,2010-11-16,aapl us equity,0.0
657,2010-11-15,aapl us equity,0.0
658,2010-11-14,aapl us equity,0.0
659,2010-11-11,aapl us equity,0.0
660,2010-11-10,aapl us equity,0.0
661,2010-11-09,aapl us equity,0.0
662,2010-11-08,aapl us equity,0.0
663,2010-11-07,aapl us equity,0.0
664,2010-11-04,aapl us equity,0.0
665,2010-11-03,aapl us equity,0.0
666,2010-11-02,aapl us equity,0.0
